readName	x	y	w	h
20FUKAAXX100202:3:22:16939:117055248	234	403	4
20GAVAAXX100126:1:48:14773:31153284	218	403	4
20FUKAAXX100202:4:6:17691:192577-376	354	399	4
20FUKAAXX100202:7:23:7262:102654-380	366	403	4
20GAVAAXX100126:7:24:4182:108892-40	70	403	4
20FUKAAXX100202:4:62:3240:76358-304	294	403	4
20GAVAAXX100126:3:67:8954:99780-396	374	403	4
20FUKAAXX100202:7:62:11220:35180-168	174	335	4
20GAVAAXX100126:2:8:21147:156977-236	222	307	4
20FUKAAXX100202:1:3:16232:35468-400	378	403	4
20FUKAAXX100202:8:24:16759:88831256	222	395	4
20GAVAAXX100126:7:23:18096:41433-4	30	403	4
20GAVAAXX100126:1:24:8835:130140-64	114	123	4
20FUKAAXX100202:2:2:13870:25758-236	226	319	4
20GAVAAXX100126:7:24:5672:53839-240	238	315	4
20FUKAAXX100202:1:68:9576:97962384	166	403	4
20GAVAAXX100126:1:4:3649:70805304	206	247	4
20FUKAAXX100202:2:43:9822:139819-252	250	403	4
20GAVAAXX100126:1:2:2406:115584152	286	339	4
20GAVAAXX100126:6:67:15107:138639-400	382	403	4
20GAVAAXX100126:8:7:14284:51580-172	178	403	4
20GAVAAXX100126:5:5:18553:43743-284	282	403	4
20FUKAAXX100202:8:65:15629:185788-252	254	403	4
20FUKAAXX100202:5:43:14800:171718112	318	403	4
20FUKAAXX100202:3:61:2395:36263-176	186	339	4
20FUKAAXX100202:6:41:13629:27784-292	286	403	4
20GAVAAXX100126:3:24:7725:54905244	238	403	4
20FUKAAXX100202:3:65:14030:38273356	178	403	4
20GAVAAXX100126:4:8:9411:116364-260	270	403	4
20FUKAAXX100202:4:68:12516:59970288	214	403	4
20GAVAAXX100126:5:62:12397:186194-372	346	403	4
20GAVAAXX100126:8:25:19819:25325-64	110	403	4
20FUKAAXX100202:1:66:9625:124467252	230	403	4
20FUKAAXX100202:5:24:9469:3271932	382	403	4
20FUKAAXX100202:6:28:16847:3814436	378	403	4
20FUKAAXX100202:6:45:19049:185637-40	74	403	4
20FUKAAXX100202:1:2:11110:124954-116	138	403	4
20FUKAAXX100202:3:63:6913:74837-192	198	403	4
20GAVAAXX100126:4:24:14716:58822100	330	403	4
20FUKAAXX100202:7:28:13709:64702-348	318	403	4
20FUKAAXX100202:1:5:4461:98652-20	58	403	4
20FUKAAXX100202:1:66:5443:116818388	158	403	4
20GAVAAXX100126:1:41:15925:92895-352	326	375	4
20GAVAAXX100126:3:26:19011:36470-312	302	403	4
20FUKAAXX100202:7:28:7212:149581160	274	335	4
20FUKAAXX100202:7:41:15348:102930-184	194	403	4
20GAVAAXX100126:1:28:12929:1308344	386	403	4
20GAVAAXX100126:5:43:13082:189095-280	278	315	4
20GAVAAXX100126:1:61:1310:176053-64	118	139	4
20FUKAAXX100202:7:61:14591:169700228	366	403	4
20FUKAAXX100202:2:47:12993:161243-360	338	403	4
20FUKAAXX100202:8:67:2524:6291980	358	319	4
20GAVAAXX100126:3:65:17124:42428176	266	375	4
20GAVAAXX100126:3:67:12263:114868-8	50	403	4
20GAVAAXX100126:7:47:8201:88190-108	134	403	4
20GAVAAXX100126:6:4:12577:53276-324	306	403	4
